tahun,provinsi,jenis_harga,nilai_miliar_rp,sumber,status
2024,Sulawesi Tengah,Berlaku,59568.0,BPS PDRB,real
2020,Sulawesi Tengah,Konstan,29594.0,BPS PDRB,real
2021,Sulawesi Tengah,Konstan,30793.0,BPS PDRB,real
2022,Sulawesi Tengah,Konstan,31640.0,BPS PDRB,real
2023,Sulawesi Tengah,Konstan,32225.0,BPS PDRB,real
2024,Sulawesi Tengah,Konstan,32848.0,BPS PDRB,real
2020,Sulawesi Selatan,Berlaku,109460.0,BPS PDRB,real
2021,Sulawesi Selatan,Berlaku,122835.0,BPS PDRB,real
2022,Sulawesi Selatan,Berlaku,133923.0,BPS PDRB,real
2023,Sulawesi Selatan,Berlaku,141545.0,BPS PDRB,real
2024,Sulawesi Selatan,Berlaku,152048.0,BPS PDRB,real
2020,Sulawesi Selatan,Konstan,66140.0,BPS PDRB,real
2021,Sulawesi Selatan,Konstan,70358.0,BPS PDRB,real
2022,Sulawesi Selatan,Konstan,72163.0,BPS PDRB,real
2023,Sulawesi Selatan,Konstan,72226.0,BPS PDRB,real
2024,Sulawesi Selatan,Konstan,75167.0,BPS PDRB,real
2020,Sulawesi Tenggara,Berlaku,31395.0,BPS PDRB,real
2021,Sulawesi Tenggara,Berlaku,32925.0,BPS PDRB,real
2022,Sulawesi Tenggara,Berlaku,36964.0,BPS PDRB,real
2023,Sulawesi Tenggara,Berlaku,40544.0,BPS PDRB,real
2024,Sulawesi Tenggara,Berlaku,44495.0,BPS PDRB,real
2020,Sulawesi Tenggara,Konstan,21728.0,BPS PDRB,real
2021,Sulawesi Tenggara,Konstan,22247.0,BPS PDRB,real
2022,Sulawesi Tenggara,Konstan,23755.0,BPS PDRB,real
2023,Sulawesi Tenggara,Konstan,24780.0,BPS PDRB,real
2024,Sulawesi Tenggara,Konstan,25735.0,BPS PDRB,real
2020,Gorontalo,Berlaku,16188.0,BPS PDRB,real
2021,Gorontalo,Berlaku,17082.0,BPS PDRB,real
2022,Gorontalo,Berlaku,18073.0,BPS PDRB,real
2023,Gorontalo,Berlaku,19387.0,BPS PDRB,real
2024,Gorontalo,Berlaku,20344.0,BPS PDRB,real
2020,Gorontalo,Konstan,10479.0,BPS PDRB,real
2021,Gorontalo,Konstan,10664.0,BPS PDRB,real
2022,Gorontalo,Konstan,10908.0,BPS PDRB,real
2023,Gorontalo,Konstan,11366.0,BPS PDRB,real
2024,Gorontalo,Konstan,11719.0,BPS PDRB,real
2020,Sulawesi Barat,Berlaku,19951.0,BPS PDRB,real
2021,Sulawesi Barat,Berlaku,22162.0,BPS PDRB,real
2022,Sulawesi Barat,Berlaku,23914.0,BPS PDRB,real
2023,Sulawesi Barat,Berlaku,26173.0,BPS PDRB,real
2024,Sulawesi Barat,Berlaku,29610.0,BPS PDRB,real
2020,Sulawesi Barat,Konstan,12762.0,BPS PDRB,real
2021,Sulawesi Barat,Konstan,12910.0,BPS PDRB,real
2022,Sulawesi Barat,Konstan,13343.0,BPS PDRB,real
2023,Sulawesi Barat,Konstan,13879.0,BPS PDRB,real
2024,Sulawesi Barat,Konstan,14543.0,BPS PDRB,real
2020,Maluku,Berlaku,11103.0,BPS PDRB,real
2021,Maluku,Berlaku,11281.0,BPS PDRB,real
2022,Maluku,Berlaku,12651.0,BPS PDRB,real
2023,Maluku,Berlaku,13950.0,BPS PDRB,real
2024,Maluku,Berlaku,14781.0,BPS PDRB,real
2020,Maluku,Konstan,7354.0,BPS PDRB,real
2021,Maluku,Konstan,7409.0,BPS PDRB,real
2022,Maluku,Konstan,7833.0,BPS PDRB,real
2023,Maluku,Konstan,8277.0,BPS PDRB,real
2024,Maluku,Konstan,8558.0,BPS PDRB,real
2020,Maluku Utara,Berlaku,8896.0,BPS PDRB,real
2021,Maluku Utara,Berlaku,9431.0,BPS PDRB,real
2022,Maluku Utara,Berlaku,10164.0,BPS PDRB,real
2023,Maluku Utara,Berlaku,10874.0,BPS PDRB,real
2024,Maluku Utara,Berlaku,11920.0,BPS PDRB,real
2020,Maluku Utara,Konstan,5595.0,BPS PDRB,real
2021,Maluku Utara,Konstan,5727.0,BPS PDRB,real
2022,Maluku Utara,Konstan,5912.0,BPS PDRB,real
2023,Maluku Utara,Konstan,6163.0,BPS PDRB,real
2024,Maluku Utara,Konstan,6441.0,BPS PDRB,real
2020,Papua Barat,Berlaku,9068.0,BPS PDRB,real
2021,Papua Barat,Berlaku,9342.0,BPS PDRB,real
2022,Papua Barat,Berlaku,9549.0,BPS PDRB,real
2023,Papua Barat,Berlaku,5091.0,BPS PDRB,real
2024,Papua Barat,Berlaku,5124.0,BPS PDRB,real
2020,Papua Barat,Konstan,6122.0,BPS PDRB,real
2021,Papua Barat,Konstan,6182.0,BPS PDRB,real
2022,Papua Barat,Konstan,6199.0,BPS PDRB,real
2023,Papua Barat,Konstan,3304.0,BPS PDRB,real
2024,Papua Barat,Konstan,3311.0,BPS PDRB,real
2020,Papua,Berlaku,24457.0,BPS PDRB,real
2021,Papua,Berlaku,25516.0,BPS PDRB,real
2022,Papua,Berlaku,27048.0,BPS PDRB,real
2023,Papua,Berlaku,11820.0,BPS PDRB,real
2024,Papua,Berlaku,12107.0,BPS PDRB,real
2020,Papua,Konstan,16491.0,BPS PDRB,real
2021,Papua,Konstan,16756.0,BPS PDRB,real
2022,Papua,Konstan,17136.0,BPS PDRB,real
